imgName,width,height,megapixel,time
large-1.jpg,5184,3456,17.915904,0.0394096317168997
large-10.jpg,5184,3456,17.915904,0.0252226261655185
large-2.jpg,5074,3383,17.165342,0.024913859721674
large-4.jpg,5184,3456,17.915904,0.023964039400651
large-5.jpg,5184,3456,17.915904,0.0244887712934449
large-6.jpg,5184,3456,17.915904,0.0260471437607154
large-7.jpg,11029,4695,51.781155,0.0743836324704266
large-8.jpg,5530,4142,22.90526,0.0322934632604282
large-9.jpg,3456,5184,17.915904,0.0238216305006507
medium-1.jpg,3000,2000,6,0.0081733300204376
medium-10.jpg,3000,2000,6,0.00899870292434324
medium-2.jpg,3000,2000,6,0.00829478385707449
medium-3.jpg,4085,2000,8.17,0.0113366892796034
medium-4.jpg,3000,2000,6,0.00862493301863675
medium-5.jpg,3000,2000,6,0.0273172771931505
medium-6.jpg,3000,2000,6,0.00850134091022808
medium-7.jpg,4698,2000,9.396,0.0127962735910179
medium-8.jpg,2670,2000,5.34,0.00753911861292876
medium-9.jpg,1333,2000,2.666,0.00378217510991786
small-1.jpg,1536,1024,1.572864,0.00211945498018464
small-10.jpg,1536,1024,1.572864,0.00225331079309783
small-2.jpg,1536,1024,1.572864,0.00240427278018523
small-3.jpg,2091,1024,2.141184,0.00275452169640219
small-4.jpg,1536,1024,1.572864,0.00226015326276751
small-5.jpg,1536,1024,1.572864,0.00210192115165607
small-6.jpg,1536,1024,1.572864,0.00223919819940411
small-7.jpg,2405,1024,2.46272,0.00351146990361099
small-8.jpg,1367,1024,1.399808,0.00196464410390803
small-9.jpg,683,1024,0.699392,0.0010131131654676
