imgName,width,height,megapixel,time
a.jpg,1536,1024,1.572864,20.47877273464
large-1.jpg,5184,3456,17.915904,177.995743556211
large-10.jpg,5184,3456,17.915904,95.2499947612342
large-2.jpg,5074,3383,17.165342,373.204953776979
large-4.jpg,5184,3456,17.915904,374.036259957397
large-5.jpg,5184,3456,17.915904,6.49680435283708
large-6.jpg,5184,3456,17.915904,336.762452974058
large-7.jpg,11029,4695,51.781155,17.1722168361532
large-8.jpg,5530,4142,22.90526,53.3108581012916
large-9.jpg,3456,5184,17.915904,9.6781392074795
medium-1.jpg,3000,2000,6,7.44447742134688
medium-10.jpg,3000,2000,6,5.64922335830977
medium-2.jpg,3000,2000,6,58.3592365001281
medium-3.jpg,4085,2000,8.17,63.5348365098786
medium-4.jpg,3000,2000,6,68.252263467584
medium-5.jpg,3000,2000,6,7.45204733107332
medium-6.jpg,3000,2000,6,92.7515234117238
medium-7.jpg,4698,2000,9.396,198.656854850263
medium-8.jpg,2670,2000,5.34,55.6722106351651
medium-9.jpg,1333,2000,2.666,11.4161585776558
small-1.jpg,1536,1024,1.572864,2.36360712762959
small-10.jpg,1536,1024,1.572864,23.9165069021275
small-2.jpg,1536,1024,1.572864,17.1657395833022
small-3.jpg,2091,1024,2.141184,42.6540383186855
small-4.jpg,1536,1024,1.572864,22.560198979018
small-5.jpg,1536,1024,1.572864,2.55915079819547
small-6.jpg,1536,1024,1.572864,11.089389168456
small-7.jpg,2405,1024,2.46272,1.068794190059
small-8.jpg,1367,1024,1.399808,14.3976599609038
small-9.jpg,683,1024,0.699392,11.3053931062973
